Lat,Lon,State_Ab,County
40.922326,-72.637078,NY,SUFFOLK
18.165273,-66.722583,PR,ADJUNTAS
18.393103,-67.180953,PR,AGUADA
18.455913,-67.14578,PR,AGUADILLA
18.172947,-66.944111,PR,MARICAO
18.288685,-67.139696,PR,ANASCO
18.279531,-66.80217,PR,UTUADO
18.450674,-66.698262,PR,ARECIBO
18.447092,-66.544255,PR,BARCELONETA
17.998531,-67.187318,PR,CABO ROJO
18.023535,-66.726156,PR,PENUELAS
18.477891,-66.85477,PR,CAMUY
18.269187,-66.864993,PR,LARES
18.113284,-67.039706,PR,SAN GERMAN
18.087322,-66.934911,PR,SABANA GRANDE
18.33616,-66.472087,PR,CIALES
18.43606,-66.281954,PR,DORADO
17.969594,-66.939754,PR,GUANICA
18.360125,-66.562311,PR,FLORIDA
18.02328,-66.786909,PR,GUAYANILLA
18.481391,-66.808696,PR,HATILLO
18.145486,-67.135323,PR,HORMIGUEROS
18.480285,-67.028155,PR,ISABELA
18.217606,-66.598306,PR,JAYUYA
18.015099,-67.055973,PR,LAJAS
18.252135,-66.990967,PR,LAS MARIAS
18.44553,-66.490268,PR,MANATI
18.383727,-67.080799,PR,MOCA
18.335781,-67.252547,PR,RINCON
18.45303,-66.933689,PR,QUEBRADILLAS
18.219023,-67.508068,PR,MAYAGUEZ
18.3236,-66.972227,PR,SAN SEBASTIAN
18.316976,-66.415207,PR,MOROVIS
18.435818,-66.338523,PR,VEGA ALTA
18.443109,-66.398302,PR,VEGA BAJA
18.06104,-66.861164,PR,YAUCO
18.250398,-66.12845,PR,AGUAS BUENAS
17.99229,-66.139253,PR,GUAYAMA
18.128092,-66.268717,PR,AIBONITO
18.007014,-65.898719,PR,MAUNABO
17.96751,-66.04138,PR,ARROYO
18.011854,-66.563721,PR,PONCE
18.22139,-65.77831,PR,NAGUABO
18.298017,-66.229751,PR,NARANJITO
18.226862,-66.39402,PR,OROCOVIS
18.364161,-65.778288,PR,RIO GRANDE
18.009994,-66.010572,PR,PATILLAS
18.212965,-66.058033,PR,CAGUAS
18.333093,-65.883864,PR,CANOVANAS
18.264872,-65.594769,PR,CEIBA
18.102967,-66.139274,PR,CAYEY
18.359381,-65.611361,PR,FAJARDO
18.181469,-66.169519,PR,CIDRA
18.162156,-65.753485,PR,HUMACAO
17.99852,-66.264825,PR,SALINAS
18.187584,-65.962389,PR,SAN LORENZO
17.991233,-66.395543,PR,SANTA ISABEL
18.123347,-65.460356,PR,VIEQUES
18.120519,-66.496607,PR,VILLALBA
18.045522,-65.886988,PR,YABUCOA
18.095992,-66.35081,PR,COAMO
18.196576,-65.87197,PR,LAS PIEDRAS
18.447406,-65.899357,PR,LOIZA
18.366027,-65.708138,PR,LUQUILLO
18.323736,-65.296467,PR,CULEBRA
18.206489,-65.901774,PR,JUNCOS
18.259092,-65.974641,PR,GURABO
18.224958,-66.219885,PR,COMERIO
18.304369,-66.330525,PR,COROZAL
18.200898,-66.307236,PR,BARRANQUITAS
17.997367,-66.493218,PR,JUANA DIAZ
18.322285,-64.963715,VI,SAINT THOMAS
17.734211,-64.734694,VI,SAINT CROIX
18.32816,-64.740737,VI,SAINT JOHN
18.465901,-66.103568,PR,SAN JUAN
18.34487,-66.166014,PR,BAYAMON
18.431911,-66.199692,PR,TOA BAJA
18.356795,-66.25701,PR,TOA ALTA
18.437644,-66.140407,PR,CATANO
18.428784,-66.11539,PR,GUAYNABO
18.338133,-65.989229,PR,TRUJILLO ALTO
18.413452,-65.977659,PR,CAROLINA
42.140549,-72.788661,MA,HAMPDEN
42.367092,-72.464571,MA,HAMPSHIRE
42.32916,-72.139465,MA,WORCESTER
42.190904,-73.051661,MA,BERKSHIRE
42.474681,-72.467543,MA,FRANKLIN
42.446396,-71.459405,MA,MIDDLESEX
42.647991,-71.165685,MA,ESSEX
41.970474,-70.701357,MA,PLYMOUTH
42.076501,-71.470464,MA,NORFOLK
41.998799,-71.200894,MA,BRISTOL
42.370567,-71.026964,MA,SUFFOLK
41.745505,-70.590471,MA,BARNSTABLE
41.379034,-70.673082,MA,DUKES
41.287647,-70.08665,MA,NANTUCKET
41.530131,-71.284066,RI,NEWPORT
41.954098,-71.462053,RI,PROVIDENCE
41.322365,-71.679251,RI,WASHINGTON
41.742501,-71.320395,RI,BRISTOL
41.694251,-71.636786,RI,KENT
42.87474,-71.629365,NH,HILLSBOROUGH
42.989151,-71.343576,NH,ROCKINGHAM
,,NH,MERRIMACK
43.930221,-71.534068,NH,GRAFTON
43.417369,-71.373189,NH,BELKNAP
43.694809,-71.323953,NH,CARROLL
43.17229,-72.100689,NH,SULLIVAN
42.903656,-72.248052,NH,CHESHIRE
44.512344,-71.194226,NH,COOS
43.285282,-70.930684,NH,STRAFFORD
43.279539,-70.740013,ME,YORK
43.735867,-69.995456,ME,CUMBERLAND
44.023162,-69.875816,ME,SAGADAHOC
44.163033,-70.739823,ME,OXFORD
44.087422,-70.243848,ME,ANDROSCOGGIN
44.602705,-70.22651,ME,FRANKLIN
44.349166,-69.870181,ME,KENNEBEC
44.258771,-69.551024,ME,LINCOLN
44.39559,-69.4168,ME,WALDO
45.061744,-68.878893,ME,PENOBSCOT
45.184103,-69.233382,ME,PISCATAQUIS
44.641873,-68.391481,ME,HANCOCK
45.002969,-67.495548,ME,WASHINGTON
46.516166,-68.886826,ME,AROOSTOOK
45.28657,-70.054629,ME,SOMERSET
44.010424,-69.231179,ME,KNOX
43.591821,-72.463589,VT,WINDSOR
44.004691,-72.15845,VT,ORANGE
44.359629,-72.086586,VT,CALEDONIA
43.171185,-72.623106,VT,WINDHAM
43.09893,-73.034944,VT,BENNINGTON
44.507404,-73.151384,VT,CHITTENDEN
44.93606,-73.289065,VT,GRAND ISLE
44.836967,-72.92169,VT,FRANKLIN
44.724842,-72.701554,VT,LAMOILLE
44.157814,-73.071813,VT,ADDISON
44.19906,-72.559638,VT,WASHINGTON
43.630346,-72.93586,VT,RUTLAND
44.741679,-72.364639,VT,ORLEANS
44.581613,-71.833956,VT,ESSEX
41.757944,-72.728272,CT,HARTFORD
42.001585,-73.295891,CT,LITCHFIELD
41.849319,-72.411777,CT,TOLLAND
41.845504,-72.091889,CT,WINDHAM
41.628008,-72.245422,CT,NEW LONDON
41.342514,-73.070301,CT,NEW HAVEN
