group,psc_desc,psc,Level1,Level_1_Category,Level_2,Level_2_Category
AA,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL BASIC RESEARCH,AA11,17,Research and Development,17.3,Technology Base
AA,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AA12,17,Research and Development,17.3,Technology Base
AA,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL ADVANCED DEVELOPMENT,AA13,17,Research and Development,17.1,Systems Development
AA,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL ENGINEERING DEVELOPMENT,AA14,17,Research and Development,17.1,Systems Development
AA,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL OPERATIONAL SYSTEMS DEVELOPMENT,AA15,17,Research and Development,17.2,Operational Systems Development
AA,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL MANAGEMENT/SUPPORT,AA16,2,Professional Services,2.3,Management Advisory Services
AA,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL COMMERCIALIZED,AA17,17,Research and Development,17.4,Commericalization
AA,R&D- AGRICULTURE: MARKETING BASIC RESEARCH,AA21,17,Research and Development,17.3,Technology Base
AA,R&D- AGRICULTURE: MARKETING APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AA22,17,Research and Development,17.3,Technology Base
AA,R&D- AGRICULTURE: MARKETING ADVANCED DEVELOPMENT,AA23,17,Research and Development,17.1,Systems Development
AA,R&D- AGRICULTURE: MARKETING ENGINEERING DEVELOPMENT,AA24,17,Research and Development,17.1,Systems Development
AA,R&D- AGRICULTURE: MARKETING OPERATIONAL SYSTEMS DEVELOPMENT,AA25,17,Research and Development,17.2,Operational Systems Development
AA,R&D- AGRICULTURE: MARKETING MANAGEMENT/SUPPORT,AA26,2,Professional Services,2.4,Marketing and Distribution
AA,R&D- AGRICULTURE: MARKETING COMMERCIALIZED,AA27,17,Research and Development,17.4,Commericalization
AA,R&D- AGRICULTURE: PRODUCTION BASIC RESEARCH,AA31,17,Research and Development,17.3,Technology Base
AA,R&D- AGRICULTURE: PRODUCTION APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AA32,17,Research and Development,17.3,Technology Base
AA,R&D- AGRICULTURE: PRODUCTION ADVANCED DEVELOPMENT,AA33,17,Research and Development,17.1,Systems Development
AA,R&D- AGRICULTURE: PRODUCTION ENGINEERING DEVELOPMENT,AA34,17,Research and Development,17.1,Systems Development
AA,R&D- AGRICULTURE: PRODUCTION OPERATIONAL SYSTEMS DEVELOPMENT,AA35,17,Research and Development,17.2,Operational Systems Development
AA,R&D- AGRICULTURE: PRODUCTION MANAGEMENT/SUPPORT,AA36,2,Professional Services,2.3,Management Advisory Services
AA,R&D- AGRICULTURE: PRODUCTION COMMERCIALIZED,AA37,17,Research and Development,17.4,Commericalization
AA,R&D- AGRICULTURE: OTHER BASIC RESEARCH,AA91,17,Research and Development,17.3,Technology Base
AA,R&D- AGRICULTURE: OTHER APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AA92,17,Research and Development,17.3,Technology Base
AA,R&D- AGRICULTURE: OTHER ADVANCED DEVELOPMENT,AA93,17,Research and Development,17.1,Systems Development
AA,R&D- AGRICULTURE: OTHER ENGINEERING DEVELOPMENT,AA94,17,Research and Development,17.1,Systems Development
AA,R&D- AGRICULTURE: OTHER OPERATIONAL SYSTEMS DEVELOPMENT,AA95,17,Research and Development,17.2,Operational Systems Development
AA,R&D- AGRICULTURE: OTHER MANAGEMENT/SUPPORT,AA96,2,Professional Services,2.3,Management Advisory Services
AA,R&D- AGRICULTURE: OTHER COMMERCIALIZED,AA97,17,Research and Development,17.4,Commericalization
AB,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL BASIC RESEARCH,AB11,17,Research and Development,17.3,Technology Base
AB,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AB12,17,Research and Development,17.3,Technology Base
AB,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL ADVANCED DEVELOPMENT,AB13,17,Research and Development,17.1,Systems Development
AB,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL ENGINEERING DEVELOPMENT,AB14,17,Research and Development,17.1,Systems Development
AB,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL OPERATIONAL SYSTEMS DEVELOPMENT,AB15,17,Research and Development,17.2,Operational Systems Development
AB,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL MANAGEMENT/SUPPORT,AB16,2,Professional Services,2.3,Management Advisory Services
